DateTime,10002231.SH2.80,10002232.SH2.85,10002233.SH2.90,10002234.SH2.95,10002235.SH3.00,10002236.SH3.10,10002237.SH3.20,10002238.SH3.30
2020/1/23,0.3165,0.2852,0.2516,0.2247,0.1987,0.1545,0.1172,0.0877
2020/2/3,0.1743,0.1558,0.1372,0.1244,0.106,0.0847,0.0666,0.0535
2020/2/4,0.2034,0.18,0.1591,0.1392,0.1212,0.0921,0.0701,0.0525
2020/2/5,0.1961,0.1716,0.1501,0.1301,0.1116,0.0836,0.0612,0.0454
2020/2/6,0.2215,0.1928,0.1723,0.1484,0.1318,0.0995,0.074,0.0555
2020/2/7,0.23,0.2036,0.181,0.1574,0.1404,0.1045,0.0813,0.058
2020/2/10,0.2204,0.1948,0.1707,0.1506,0.1318,0.1002,0.0751,0.0568
2020/2/11,0.2281,0.2006,0.1743,0.1522,0.1324,0.0981,0.073,0.0539
2020/2/12,0.2357,0.2077,0.1813,0.1583,0.1372,0.1032,0.0798,0.0563
2020/2/13,0.2329,0.2049,0.1808,0.1571,0.137,0.1129,0.076,0.0558
2020/2/14,0.2407,0.2115,0.1859,0.1624,0.16,0.106,0.0785,0.058
2020/2/17,0.2694,0.2389,0.2092,0.1832,0.1661,0.1217,0.0901,0.0671
2020/2/18,0.2625,0.2324,0.2059,0.18,0.1679,0.1181,0.0867,0.0635
2020/2/19,0.2634,0.2345,0.2066,0.1809,0.1615,0.1225,0.0896,0.0657
2020/2/20,0.298,0.2673,0.2357,0.207,0.1816,0.142,0.1069,0.0771
2020/2/21,0.304,0.2742,0.243,0.2157,0.193,0.1483,0.1298,0.0895
2020/2/24,0.2835,0.2546,0.2266,0.2011,0.1791,0.1408,0.1204,0.086
2020/2/25,0.2735,0.2439,0.2177,0.1938,0.1719,0.1345,0.1145,0.0803
2020/2/26,0.2736,0.2466,0.219,0.1954,0.1738,0.1556,0.1034,0.0818
2020/2/27,0.2586,0.2306,0.203,0.1794,0.1571,0.1267,0.0981,0.0688
2020/2/28,0.221,0.1971,0.1749,0.1532,0.1347,0.1028,0.0778,0.0568
2020/3/2,0.2531,0.2237,0.1971,0.1728,0.1498,0.1229,0.0855,0.0638
2020/3/3,0.2579,0.2284,0.2011,0.1762,0.1532,0.1162,0.09,0.0653
2020/3/4,0.28,0.2498,0.223,0.1949,0.1716,0.1316,0.0999,0.0735
2020/3/5,0.33,0.2981,0.2652,0.2344,0.2079,0.1638,0.123,0.0945
2020/3/6,0.3023,0.2718,0.2413,0.2161,0.1902,0.1412,0.1299,0.0848
2020/3/9,0.256,0.2299,0.2061,0.1841,0.163,0.127,0.1093,0.0738
2020/3/10,0.2922,0.2635,0.2372,0.2127,0.1896,0.1523,0.119,0.0907
2020/3/11,0.272,0.2456,0.221,0.1978,0.177,0.1389,0.115,0.0853
2020/3/12,0.2632,0.2372,0.2154,0.1923,0.1741,0.142,0.1096,0.0854
2020/3/13,0.2511,0.2274,0.2101,0.187,0.1701,0.1379,0.1115,0.0887
2020/3/16,0.2081,0.1843,0.1665,0.1503,0.1358,0.1103,0.0872,0.0735
2020/3/17,0.2096,0.1904,0.1727,0.1562,0.1415,0.1145,0.0926,0.0745
2020/3/18,0.1508,0.135,0.1219,0.1093,0.0981,0.0765,0.0607,0.0496
2020/3/19,0.1413,0.1277,0.117,0.1043,0.0921,0.0749,0.061,0.0494
2020/3/20,0.1534,0.1351,0.1191,0.1067,0.0936,0.0745,0.058,0.0447
2020/3/23,0.1338,0.125,0.1062,0.1066,0.0853,0.067,0.0539,0.0421
2020/3/24,0.1566,0.143,0.1242,0.1103,0.0981,0.0762,0.0603,0.0472
2020/3/25,0.172,0.154,0.1368,0.1214,0.1184,0.0848,0.0656,0.0517
2020/3/26,0.1635,0.1456,0.129,0.1143,0.1152,0.0792,0.0623,0.0486
2020/3/27,0.1711,0.1548,0.1396,0.122,0.1155,0.0865,0.0662,0.051
2020/3/30,0.1693,0.1508,0.1338,0.119,0.1039,0.081,0.0645,0.0498
2020/3/31,0.1589,0.1406,0.1251,0.1089,0.1015,0.075,0.058,0.0448
2020/4/1,0.1487,0.1292,0.1138,0.0995,0.098,0.0666,0.0521,0.039
2020/4/2,0.16,0.1399,0.1228,0.1074,0.0945,0.0718,0.0543,0.0413
2020/4/3,0.16,0.1416,0.1242,0.1092,0.0956,0.0738,0.0544,0.0422
2020/4/7,0.1666,0.1469,0.1285,0.1122,0.0983,0.0762,0.056,0.0423
2020/4/8,0.1515,0.1318,0.1153,0.0994,0.0881,0.0659,0.049,0.0369
2020/4/9,0.1449,0.1246,0.1077,0.094,0.0802,0.061,0.0454,0.0349
2020/4/10,0.1381,0.1194,0.1028,0.089,0.0763,0.0565,0.0426,0.032
2020/4/13,0.1165,0.0989,0.0832,0.0707,0.0603,0.0426,0.0316,0.0238
2020/4/14,0.125,0.1049,0.089,0.076,0.0635,0.0453,0.0325,0.0231
2020/4/15,0.1204,0.1017,0.0867,0.074,0.0624,0.0442,0.031,0.0214
2020/4/16,0.1233,0.1048,0.0892,0.076,0.0633,0.0456,0.0316,0.0218
2020/4/17,0.135,0.1151,0.0981,0.0827,0.0692,0.0492,0.035,0.025
2020/4/20,0.1367,0.1159,0.0983,0.0831,0.0702,0.0496,0.0349,0.0245
2020/4/21,0.1222,0.1024,0.0883,0.0737,0.0688,0.045,0.0306,0.021
2020/4/22,0.1225,0.1033,0.0864,0.0731,0.0615,0.0429,0.0302,0.021
2020/4/23,0.1141,0.0968,0.0799,0.068,0.0614,0.0375,0.0271,0.0183
2020/4/24,0.1095,0.0913,0.0756,0.0625,0.0529,0.036,0.0237,0.0163
