DateTime,10003575.SH2.85,10003513.SH2.90,10003505.SH2.95,10003371.SH3.00,10003317.SH3.10,10003305.SH3.20,10003241.SH3.30,10003205.SH3.40,10003206.SH3.50,10003207.SH3.60,10003208.SH3.70,10003209.SH3.80,10003210.SH3.90,10003211.SH4.00,10003212.SH4.10,10003213.SH4.20,10003251.SH4.30,10003261.SH4.40
2021/1/29,NaN,NaN,NaN,NaN,NaN,NaN,0.5465,0.48,0.4088,0.3517,0.3051,0.2562,0.2154,0.1808,0.1467,0.1275,NaN,NaN
2021/2/1,NaN,NaN,NaN,NaN,NaN,NaN,0.5599,0.4889,0.4239,0.3642,0.3112,0.2673,0.2236,0.1881,0.159,0.1333,NaN,NaN
2021/2/2,NaN,NaN,NaN,NaN,NaN,NaN,0.5697,0.494,0.4273,0.3663,0.3115,0.2636,0.2195,0.1858,0.1555,0.1305,NaN,NaN
2021/2/3,NaN,NaN,NaN,NaN,NaN,NaN,0.5674,0.4888,0.426,0.3656,0.305,0.2578,0.2162,0.1805,0.1493,0.1249,NaN,NaN
2021/2/4,NaN,NaN,NaN,NaN,NaN,NaN,0.5747,0.5077,0.4395,0.3775,0.3201,0.2719,0.2287,0.189,0.1568,0.1314,NaN,NaN
2021/2/5,NaN,NaN,NaN,NaN,NaN,NaN,0.5975,0.5321,0.4692,0.3993,0.3429,0.2923,0.2492,0.2084,0.1749,0.146,NaN,NaN
2021/2/8,NaN,NaN,NaN,NaN,NaN,NaN,0.64,0.5689,0.4938,0.432,0.3655,0.3104,0.2635,0.2221,0.185,0.154,NaN,NaN
2021/2/9,NaN,NaN,NaN,NaN,NaN,NaN,0.6918,0.6118,0.519,0.4676,0.406,0.3483,0.2981,0.254,0.2141,0.1835,0.1545,NaN
2021/2/10,NaN,NaN,NaN,NaN,NaN,NaN,0.755,0.685,0.6054,0.5232,0.4697,0.3923,0.3375,0.2888,0.2484,0.2117,0.1794,NaN
2021/2/18,NaN,NaN,NaN,NaN,NaN,NaN,0.7426,0.673,0.5778,0.5098,0.4419,0.3795,0.3284,0.2774,0.2387,0.2051,0.1693,0.1444
2021/2/19,NaN,NaN,NaN,NaN,NaN,NaN,0.7544,0.6683,0.587,0.522,0.4536,0.383,0.3211,0.2727,0.2291,0.1922,0.156,0.1289
2021/2/22,NaN,NaN,NaN,NaN,NaN,NaN,0.6294,0.5578,0.4885,0.4115,0.3512,0.3035,0.2563,0.2102,0.1725,0.1492,0.1201,0.1005
2021/2/23,NaN,NaN,NaN,NaN,NaN,NaN,0.6388,0.5567,0.4898,0.4176,0.357,0.302,0.2527,0.2133,0.1775,0.1482,0.1207,0.1016
2021/2/24,NaN,NaN,NaN,NaN,NaN,NaN,0.568,0.4937,0.434,0.368,0.3153,0.267,0.2243,0.1837,0.1547,0.1246,0.1052,0.0848
2021/2/25,NaN,NaN,NaN,NaN,NaN,NaN,0.594,0.5156,0.4448,0.3847,0.3264,0.278,0.2331,0.1941,0.1572,0.1309,0.1069,0.09
2021/2/26,NaN,NaN,NaN,NaN,NaN,NaN,0.54,0.4698,0.4127,0.3507,0.2995,0.2527,0.2116,0.1757,0.1457,0.1195,0.0972,0.083
2021/3/1,NaN,NaN,NaN,NaN,NaN,NaN,0.5568,0.4816,0.4164,0.3563,0.3013,0.254,0.2117,0.1755,0.1461,0.1213,0.1003,0.0821
2021/3/2,NaN,NaN,NaN,NaN,NaN,NaN,0.498,0.4258,0.3617,0.3157,0.2582,0.216,0.1788,0.1483,0.1221,0.0991,0.082,0.0664
2021/3/3,NaN,NaN,NaN,NaN,NaN,NaN,0.5598,0.475,0.4188,0.3594,0.3053,0.2575,0.2152,0.1805,0.1463,0.1219,0.1,0.0824
2021/3/4,NaN,NaN,NaN,NaN,NaN,NaN,0.4794,0.4242,0.3541,0.3043,0.2592,0.216,0.1812,0.1485,0.1194,0.1022,0.0844,0.0687
2021/3/5,NaN,NaN,NaN,NaN,NaN,NaN,0.4739,0.4156,0.3463,0.2951,0.249,0.2086,0.1741,0.144,0.119,0.0956,0.0815,0.0659
2021/3/8,NaN,NaN,NaN,NaN,NaN,NaN,0.3863,0.3302,0.2753,0.236,0.1911,0.1591,0.1309,0.1081,0.0903,0.0751,0.062,0.0502
2021/3/9,NaN,NaN,NaN,NaN,NaN,0.4137,0.3514,0.2966,0.2478,0.2068,0.17,0.1375,0.123,0.098,0.0816,0.0685,0.0559,0.0477
2021/3/10,NaN,NaN,NaN,NaN,0.495,0.424,0.3594,0.3049,0.2495,0.2075,0.171,0.1401,0.1157,0.0956,0.078,0.065,0.0545,0.0458
2021/3/11,NaN,NaN,NaN,NaN,0.5501,0.48,0.4063,0.3418,0.2886,0.2411,0.1995,0.165,0.1325,0.1114,0.09,0.0745,0.0616,0.0501
2021/3/12,NaN,NaN,NaN,NaN,0.559,0.4868,0.4068,0.34,0.2891,0.2411,0.1975,0.1634,0.1334,0.1095,0.0883,0.0733,0.0601,0.0487
2021/3/15,NaN,NaN,NaN,NaN,0.5152,0.4321,0.3613,0.3063,0.2635,0.2135,0.1731,0.141,0.1122,0.0929,0.0745,0.0616,0.0503,0.0418
2021/3/16,NaN,NaN,NaN,NaN,0.528,0.454,0.3848,0.3199,0.2655,0.2185,0.1787,0.145,0.1175,0.0965,0.0772,0.0626,0.0513,0.0432
2021/3/17,NaN,NaN,NaN,NaN,0.5111,0.4367,0.366,0.3052,0.2567,0.2117,0.1729,0.141,0.1127,0.0933,0.0731,0.0624,0.0503,0.0425
2021/3/18,NaN,NaN,NaN,NaN,0.5174,0.4404,0.3737,0.3075,0.257,0.213,0.1727,0.141,0.1148,0.0934,0.0735,0.061,0.0517,0.0431
2021/3/19,NaN,NaN,NaN,NaN,0.423,0.3582,0.2975,0.2455,0.2045,0.166,0.1353,0.1087,0.0848,0.071,0.0573,0.047,0.0372,0.0319
2021/3/22,NaN,NaN,NaN,NaN,0.4581,0.3859,0.3195,0.261,0.2151,0.175,0.1397,0.1121,0.0894,0.0715,0.0572,0.0465,0.0378,0.0309
2021/3/23,NaN,NaN,NaN,NaN,0.447,0.3587,0.3055,0.2541,0.2068,0.1659,0.132,0.104,0.0829,0.064,0.052,0.041,0.032,0.0266
2021/3/24,NaN,NaN,NaN,NaN,0.4259,0.3518,0.2861,0.2348,0.1935,0.1522,0.1224,0.0964,0.0751,0.0605,0.0476,0.0389,0.031,0.0269
2021/3/25,NaN,NaN,NaN,NaN,0.4173,0.3411,0.2801,0.2263,0.183,0.1449,0.1131,0.0896,0.0699,0.0568,0.0442,0.0349,0.0278,0.0228
2021/3/26,NaN,NaN,NaN,NaN,0.4589,0.3819,0.3224,0.2572,0.2055,0.1651,0.1311,0.1038,0.0807,0.0609,0.0504,0.0414,0.0325,0.0272
2021/3/29,NaN,NaN,NaN,NaN,0.4611,0.3805,0.3167,0.2568,0.2075,0.163,0.129,0.1014,0.0805,0.0643,0.0513,0.0416,0.0339,0.0266
