DateTime,CLOSE,OPEN,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,TURN
2018/1/2,2.907,2.864,2.909,2.862,477697012,1383492080,1.714486,1.644507,3.618643
2018/1/3,2.912,2.909,2.945,2.906,570874297,1668821383,0.171999,1.341589,4.328412
2018/1/4,2.919,2.913,2.932,2.909,308413084,900344767,0.240385,0.789835,2.366583
2018/1/5,2.933,2.921,2.938,2.916,322008830,942526280,0.479616,0.753683,2.50532
2018/1/8,2.944,2.927,2.951,2.925,312553092,918485934,0.375043,0.886464,2.434783
2018/1/9,2.97,2.942,2.97,2.941,309711243,916676148,0.883152,0.985054,2.428156
2018/1/10,2.994,2.967,2.996,2.96,477905689,1423989574,0.808081,1.212121,3.81257
2018/1/11,2.991,2.988,3.005,2.979,322739287,965216953,-0.1002,0.868403,2.574705
2018/1/12,3.018,2.991,3.02,2.991,318776174,957658309,0.902708,0.969575,2.537623
2018/1/15,3.043,3.021,3.065,3.018,585266717,1781827856,0.828363,1.557323,4.752084
2018/1/16,3.064,3.036,3.065,3.034,470250218,1432989391,0.690108,1.018732,3.762303
2018/1/17,3.071,3.064,3.127,3.055,838391612,2590198891,0.22846,2.349869,6.772145
2018/1/18,3.106,3.09,3.122,3.082,612352357,1898899830,1.139694,1.302507,4.915729
2018/1/19,3.113,3.116,3.14,3.096,767921220,2397934043,0.22537,1.416613,6.168537
2018/1/22,3.129,3.103,3.139,3.092,608078275,1899510274,0.513974,1.509798,4.923312
2018/1/23,3.173,3.137,3.175,3.137,935563894,2953636240,1.4062,1.214446,7.456475
2018/1/24,3.172,3.184,3.195,3.146,849642627,2699437535,-0.031516,1.54428,6.824987
2018/1/25,3.15,3.165,3.171,3.121,642486865,2022418278,-0.693569,1.576293,5.164685
2018/1/26,3.171,3.145,3.195,3.141,597438041,1895127949,0.666667,1.714286,4.717609
2018/1/29,3.114,3.181,3.193,3.103,741525838,2340129048,-1.79754,2.838221,5.793171
2018/1/30,3.075,3.106,3.124,3.072,450105801,1394189793,-1.252408,1.669878,3.522506
2018/1/31,3.113,3.064,3.117,3.062,573769304,1775467538,1.235772,1.788618,4.465478
2018/2/1,3.134,3.115,3.136,3.096,701066553,2186595086,0.67459,1.284934,5.520644
2018/2/2,3.145,3.11,3.148,3.076,729215706,2272216717,0.350989,2.297384,5.562286
2018/2/5,3.18,3.106,3.181,3.099,826498116,2594426926,1.112878,2.607313,6.244319
2018/2/6,3.11,3.131,3.146,3.089,1729886045,5384711724,-2.201258,1.792453,12.70387
2018/2/7,3.023,3.142,3.162,3.013,1388927408,4266528853,-2.797428,4.790997,10.351225
2018/2/8,2.939,3,3.016,2.907,1206013478,3578899060,-2.778697,3.60569,8.853424
2018/2/9,2.803,2.851,2.878,2.713,1848601312,5148844906,-4.627424,5.614154,14.322471
2018/2/12,2.8,2.801,2.822,2.77,782889674,2193227398,-0.107028,1.855155,6.225268
2018/2/13,2.848,2.829,2.884,2.828,603550338,1723677927,1.714286,2,4.914905
2018/2/14,2.866,2.856,2.873,2.837,259654865,741460212,0.632022,1.264045,2.110844
2018/2/22,2.925,2.907,2.939,2.894,363241017,1059208023,2.058618,1.570133,2.98497
2018/2/23,2.955,2.934,2.962,2.924,351074427,1032836958,1.025641,1.299145,2.869896
2018/2/26,2.965,2.97,2.989,2.927,651191347,1927924081,0.338409,2.098139,5.271951
2018/2/27,2.92,2.973,2.976,2.912,638534203,1873449111,-1.517707,2.158516,5.187118
2018/2/28,2.871,2.898,2.902,2.858,604360811,1741070931,-1.678082,1.506849,4.990181
2018/3/1,2.884,2.852,2.904,2.849,450512759,1298810206,0.452804,1.915709,3.698184
2018/3/2,2.856,2.862,2.884,2.846,342488511,980550490,-0.970874,1.317614,2.79514
2018/3/5,2.855,2.858,2.889,2.837,484453943,1385442491,-0.035014,1.820728,3.956018
2018/3/6,2.888,2.875,2.889,2.83,532161449,1525238009,1.155867,2.06655,4.290241
2018/3/7,2.871,2.888,2.917,2.859,692903517,2001643050,-0.588643,2.00831,5.617378
2018/3/8,2.893,2.873,2.898,2.86,338225401,975051055,0.766284,1.323581,2.730928
2018/3/9,2.903,2.9,2.913,2.885,415786355,1205019645,0.345662,0.967853,3.320712
2018/3/12,2.905,2.916,2.923,2.894,524250859,1524123075,0.068894,0.998967,4.10501
