DateTime,TB1Y.WI,TB3Y.WI,TB10Y.WI
2018/1/2,3.6775,3.7625,3.92
2018/1/3,3.625,3.74,3.9175
2018/1/4,3.5175,3.7362,3.89
2018/1/5,3.5275,3.73,3.94
2018/1/8,3.515,3.66,3.925
2018/1/9,3.51,3.665,3.9163
2018/1/10,3.5575,3.655,3.9725
2018/1/11,3.5525,3.65,3.9763
2018/1/12,3.5487,3.705,3.9625
2018/1/15,3.59,3.635,3.9925
2018/1/16,3.5625,3.67,3.9875
2018/1/17,3.58,3.715,3.9894
2018/1/18,3.555,3.6925,3.9837
2018/1/19,3.555,3.65,3.9987
2018/1/22,3.4875,3.705,3.9713
2018/1/23,3.51,3.625,3.94
2018/1/24,3.5025,3.5838,3.95
2018/1/25,3.46,3.6125,3.98
2018/1/26,3.4,3.6275,3.9656
2018/1/29,3.45,3.645,4.015
2018/1/30,3.5,3.64,3.93
2018/1/31,3.55,3.6175,3.9613
2018/2/1,3.4925,3.61,3.9106
2018/2/2,3.525,3.625,4.0125
2018/2/5,3.46,3.6225,3.9165
2018/2/6,3.4037,3.6137,3.9
2018/2/7,3.2875,3.6125,3.905
2018/2/8,3.3975,3.6219,3.8869
2018/2/9,3.41,3.615,3.89
2018/2/12,3.4775,3.6012,3.8975
2018/2/13,3.2125,3.5563,3.915
2018/2/14,NaN,NaN,3.985
2018/2/22,NaN,3.605,3.875
2018/2/23,3.3,3.57,3.88
2018/2/26,3.1325,3.5,3.85
2018/2/27,3.135,3.51,3.8275
2018/2/28,3.2375,3.5125,3.8375
2018/3/1,3.25,3.5488,3.84
2018/3/2,3.26,3.525,3.845
2018/3/5,3.31,3.565,3.84
2018/3/6,3.27,3.545,3.8325
2018/3/7,3.26,3.54,3.8338
2018/3/8,3.25,3.5,3.8538
2018/3/9,3.25,3.515,3.8325
2018/3/12,3.2975,3.4963,3.84
2018/3/13,3.29,3.51,3.8637
2018/3/14,3.275,3.5325,3.8763
2018/3/15,3.355,3.525,3.84
2018/3/16,3.3925,3.53,3.8381
2018/3/19,3.3525,3.53,3.82
2018/3/20,3.275,3.5519,3.8
2018/3/21,3.3,3.54,3.8038
2018/3/22,3.335,3.5,3.7725
2018/3/23,3.3288,3.47,3.7325
2018/3/26,3.2875,3.5175,3.755
2018/3/27,3.3,3.5325,3.72
2018/3/28,3.27,3.65,3.7475
2018/3/29,3.285,3.565,3.785
2018/3/30,3.31,3.5775,3.7663
2018/4/2,3.305,3.5475,3.7663
2018/4/3,3.275,3.5775,3.7838
2018/4/4,3.2925,3.5775,3.78
2018/4/9,3.305,3.44,3.7538
2018/4/10,3.29,3.4925,3.7213
2018/4/11,3.245,3.43,3.7675
2018/4/12,3.25,3.395,3.72
2018/4/13,3.23,3.3475,3.745
2018/4/16,3.2175,3.32,3.6937
2018/4/17,NaN,3.1,3.74
2018/4/18,2.9875,3.3175,3.595
2018/4/19,2.91,3.155,3.6025
2018/4/20,3.05,3.175,3.6
2018/4/23,3.025,3.15,3.625
2018/4/24,3.0875,3.2175,3.6075
2018/4/25,3.025,3.18,3.6358
2018/4/26,3.01,3.185,3.66
2018/4/27,3.1125,3.1525,3.6725
2018/5/2,2.9875,3.215,3.7175
2018/5/3,2.98,3.24,3.675
2018/5/4,2.915,3.23,3.6613
2018/5/7,2.93,3.225,3.6825
2018/5/8,2.9275,3.2262,3.7075
2018/5/9,2.965,3.2387,3.74
2018/5/10,2.93,3.205,3.7188
2018/5/11,3.0712,3.1025,3.6975
2018/5/14,2.935,3.195,3.705
2018/5/15,2.94,3.2125,3.68
2018/5/16,3.1,3.22,3.645
2018/5/17,3.055,3.24,3.7287
2018/5/18,3.15,3.1625,3.7188
2018/5/21,3.1425,3.2575,3.6912
2018/5/22,3.115,3.27,3.675
2018/5/23,3.155,3.1875,3.6594
2018/5/24,3.1375,3.2763,3.6581
2018/5/25,3.1375,3.28,3.6137
2018/5/28,3.15,3.375,3.63
2018/5/29,3.1662,3.28,3.575
2018/5/30,3.14,3.3575,3.6025
2018/5/31,3.075,3.315,3.6337
2018/6/1,3.05,3.32,3.635
2018/6/4,3.1825,3.365,3.655
2018/6/5,3.145,3.38,3.67
2018/6/6,3.17,3.3875,3.6638
2018/6/7,3.2075,3.41,3.6725
2018/6/8,3.195,3.3725,3.6463
2018/6/11,3.225,3.37,3.6625
2018/6/12,3.2175,3.385,3.66
2018/6/13,3.18,3.3925,3.6737
2018/6/14,3.27,3.3837,3.6413
2018/6/15,3.255,3.385,3.6137
2018/6/19,3.2425,3.3663,3.5775
2018/6/20,3.2525,3.365,3.6025
2018/6/21,3.275,3.3963,3.5938
2018/6/22,3.25,3.355,3.5712
2018/6/25,3.32,3.325,3.5887
2018/6/26,3.25,3.3162,3.5838
2018/6/27,3.255,3.31,3.5638
2018/6/28,3.25,3.335,3.53
2018/6/29,3.1625,3.2675,3.4794
2018/7/2,3.115,3.26,3.4
2018/7/3,3.09,3.2625,3.5163
2018/7/4,3.0725,3.2425,3.51
2018/7/5,3.02,3.2363,3.4962
2018/7/6,2.985,3.25,3.5225
2018/7/9,3.02,3.255,3.54
2018/7/10,3.04,3.28,3.5375
2018/7/11,3.05,3.265,3.46
2018/7/12,3.07,3.255,3.5125
2018/7/13,3.06,3.2438,3.4925
2018/7/16,3,3.24,3.4925
2018/7/17,3.01,3.2375,3.4812
2018/7/18,3.045,3.23,3.4725
2018/7/19,3.0538,3.2275,3.435
2018/7/20,3.05,3.22,3.4769
2018/7/23,3.0525,3.2425,3.5163
2018/7/24,3.0725,3.2525,3.5575
2018/7/25,3.04,3.24,3.5575
2018/7/26,2.985,3.18,3.475
2018/7/27,2.965,3.14,3.51
2018/7/30,2.89,3.1425,3.5275
2018/7/31,2.8475,3.13,3.4862
2018/8/1,2.8,3.0912,3.48
2018/8/2,2.81,3.0588,3.4925
